,risk gene,clearance gene,correlation,t
12830343,AHSG,UBXN7,0.796578221508938,324
12830344,YPEL4,UBXN7,0.796578307789526,346
10943897,JAZF1,CKS2,0.79657870748702,409
12908485,ZNF225,MED7,0.796578958034609,326
952346,NEK11,DRAM2,0.79657921278476,371
12908486,PYGM,MED7,0.796579481297598,291
12674329,COG3,SMAD6,0.796579825354892,340
12830345,PAQR4,UBXN7,0.796580415104097,379
4595004,UBXN11,IFITM1,0.796581138673262,422
10943898,ATRNL1,CKS2,0.79658176420815,436
12830346,SDF4,UBXN7,0.796582043292069,373
12830347,PSMB7,UBXN7,0.796582499663768,411
12830348,SND1_IT1,UBXN7,0.796583843482886,385
12830349,ERH,UBXN7,0.796584033451673,330
12674330,TPD52L1,SMAD6,0.7965841393497,310
10943899,BATF3,CKS2,0.796584339305523,390
12674331,RASD2,SMAD6,0.796584361990116,370
12908487,BLCAP,MED7,0.796584650290109,258
12908488,LAS1L,MED7,0.796584725094289,287
4842346,B3GNT9,VPS13C,0.796584778969117,367
12908489,METTL14,MED7,0.79658505913043,299
2630627,MAPK8IP1,PLA2G5,0.796585256617113,390
2019115,GTF2B,NKG7,0.796585274791574,247
4595005,SLC29A2,IFITM1,0.796585350983394,493
4595006,SAC3D1,IFITM1,0.796585398669293,472
10943900,ZCCHC2,CKS2,0.796585654919688,407
7626461,PRKCA,NEU4,0.796586121361766,342
12830350,CPLX3,UBXN7,0.796586465345055,285
2019116,TXNDC9,NKG7,0.796586549819389,257
4595007,MRPS30,IFITM1,0.796586685801069,451
2019117,SNX20,NKG7,0.796586694187464,241
17071672,CEP95,KEAP1,0.796586790876704,348
17071673,MFAP3L,KEAP1,0.796586797860174,373
952347,ZNF217,DRAM2,0.79658687223852,416
12674332,XIAP,SMAD6,0.796587453664501,315
12830351,SERINC3,UBXN7,0.796587839304004,359
12908490,PDE6B,MED7,0.796587914873499,299
4595008,CNTFR,IFITM1,0.796587935751152,376
12908491,IMMT,MED7,0.796588318563069,316
12674333,MSI2,SMAD6,0.7965890995179,373
12830352,MRPS23,UBXN7,0.796589147344814,416
4595009,BAP1,IFITM1,0.79658979391223,413
12830353,WDR19,UBXN7,0.796589903263838,378
12908492,TUBE1,MED7,0.796590262392738,304
17071674,KIF2C,KEAP1,0.796590513662857,362
17071675,PFKFB2,KEAP1,0.796590760861566,387
10943901,DAPK3,CKS2,0.796590762746029,408
12830354,TOX3,UBXN7,0.796591240808086,350
12674334,SPATA20,SMAD6,0.79659126844799,343
2630628,HIGD2B,PLA2G5,0.796591438051062,417
4595010,BAHCC1,IFITM1,0.79659169597426,440
12830355,ANKRD12,UBXN7,0.796592827220067,324
2019118,STRA6,NKG7,0.796592922222443,235
4595011,WDR4,IFITM1,0.79659296217366,441
4595012,GGT6,IFITM1,0.796593024319254,373
12830356,VIP,UBXN7,0.796593248308186,308
10943902,DRD4,CKS2,0.796593286522292,386
12674335,FANCD2,SMAD6,0.796593469197493,430
17071676,ASCL2,KEAP1,0.796593627352416,273
4595013,VIP,IFITM1,0.796594334557525,404
12908493,PLEKHG1,MED7,0.796594784651913,318
12674336,ZCCHC24,SMAD6,0.796595124367723,386
7626462,UNC13B,NEU4,0.796595749874958,239
12674337,PEX3,SMAD6,0.796596629080495,433
4595014,USP21,IFITM1,0.796596696704149,383
4595015,DIAPH1,IFITM1,0.79659674416913,435
2630629,ATP7B,PLA2G5,0.796597366086556,375
10943903,TDRKH,CKS2,0.796597627364989,421
12830357,SHOC2,UBXN7,0.796597676090757,342
17071677,SOX10,KEAP1,0.796598325632233,334
12908494,RYBP,MED7,0.796598325859365,280
12674338,CDH9,SMAD6,0.79659864726022,287
