risk gene,clearance gene,correlation,t
coeff11,coeff9,0.334117325702959,10000
coeff3,coeff13,0.334731154172712,502
coeff30,coeff9,0.335160764898068,10000
coeff16,coeff21,0.336144441846172,368
coeff38,coeff9,0.336521775617995,10000
coeff8,coeff5,0.337095415184975,765
coeff1,coeff25,0.337888309665031,560
coeff4,coeff9,0.338870778489131,10000
coeff27,coeff9,0.339349968989273,10000
coeff37,coeff8,0.340599337418656,229
coeff28,coeff15,0.343278235557569,10000
coeff15,coeff25,0.3435350210695,536
coeff23,coeff12,0.343991854824125,275
coeff40,coeff8,0.34408601573496,262
coeff32,coeff8,0.34412705641565,242
coeff9,coeff37,0.344479656510713,1802
coeff14,coeff17,0.346456623235515,281
coeff20,coeff8,0.3472244165335,278
coeff25,coeff9,0.34839988932703,10000
coeff9,coeff13,0.350522749569087,310
coeff17,coeff15,0.351171859979378,10000
coeff41,coeff9,0.352588863443066,10000
coeff37,coeff25,0.352721089740001,506
coeff3,coeff22,0.353260421057254,355
coeff5,coeff9,0.353442705657423,10000
coeff15,coeff5,0.355961629119394,1028
coeff41,coeff8,0.356092332341652,260
coeff2,coeff8,0.356193163831292,570
coeff3,coeff5,0.356205492483037,1043
coeff33,coeff19,0.3567693305704,274
coeff17,coeff9,0.357530226085457,10000
coeff13,coeff5,0.358507988101914,895
coeff9,coeff16,0.361266670249839,831
coeff15,coeff21,0.362679520694134,398
coeff11,coeff13,0.363228243330723,349
coeff38,coeff13,0.365598394412769,441
coeff11,coeff22,0.366678691888063,312
coeff40,coeff26,0.367233006222389,388
coeff6,coeff17,0.367987742464448,279
coeff3,coeff9,0.368566049934309,10000
coeff28,coeff19,0.368762302581256,267
coeff12,coeff21,0.369359594472593,311
coeff2,coeff16,0.369635666261064,268
coeff29,coeff26,0.370964359321476,316
coeff14,coeff16,0.371412237665316,246
coeff5,coeff17,0.371549077848925,291
coeff7,coeff17,0.371619009434948,281
coeff12,coeff28,0.371622217463284,338
coeff5,coeff15,0.371750489540682,10000
coeff6,coeff21,0.371770203067396,275
